연 번,행정동,도로명주소,지번주소,위도,경도
342,효창동,서울특별시 용산구 백범로51길 23 (효창동),서울특별시 용산구 효창동 130-2,37.54104164,126.9600322
343,효창동,서울특별시 용산구 효창원로64길 35-2 (효창동),서울특별시 용산구 효창동 5-89,37.54069451,126.9639383
344,효창동,서울특별시 용산구 효창원로64길 43-3 (효창동),서울특별시 용산구 효창동 5-16,37.54067838,126.9641266
345,효창동,서울특별시 용산구 임정로 54 (효창동),서울특별시 용산구 효창동 255,37.54446658,126.9580706
346,효창동,서울특별시 용산구 백범로79길 61 (효창동),서울특별시 용산구 효창동 5-684,37.54147973,126.9647582
347,효창동,서울특별시 용산구 효창원로66길 29-7 (효창동),서울특별시 용산구 효창동 5-797,37.54130669,126.9634777
348,효창동,서울특별시 용산구 효창원로72길 6 (효창동),서울특별시 용산구 효창동 5-623,37.54192106,126.9626256
349,효창동,서울특별시 용산구 효창원로70길 42 (효창동),서울특별시 용산구 효창동 5-673,37.54203554,126.9641793
350,효창동,서울특별시 용산구 효창원로69길 34 (효창동),서울특별시 용산구 효창동 5-471,37.54240773,126.9605493
351,효창동,서울특별시 용산구 임정로 58 (효창동),서울특별시 용산구 효창동 255,37.54481845,126.9586487
352,효창동,서울특별시 용산구 효창원로66길 40 (효창동),서울특별시 용산구 효창동 5-11,37.54099442,126.9644231
353,효창동,서울특별시 용산구 임정로 54 (효창동),서울특별시 용산구 효창동 255,37.54446658,126.9580706
354,효창동,서울특별시 용산구 효창원로69길 65-1 (효창동),서울특별시 용산구 효창동 5-152,37.54264216,126.9591088
355,효창동,서울특별시 용산구 효창원로62가길 12 (효창동),서울특별시 용산구 효창동 11-2,37.53925733,126.9623718
356,효창동,서울특별시 용산구 임정로 83-1 (효창동),서울특별시 용산구 효창동 3-148,37.54650894,126.9602151
357,효창동,서울특별시 용산구 임정로 35 (효창동),서울특별시 용산구 효창동 3-117,37.54315003,126.9586033
358,효창동,서울특별시 용산구 효창원로72길 12 (효창동),서울특별시 용산구 효창동 5-24,37.54203341,126.9626331
359,효창동,서울특별시 용산구 효창원로69길 52-1 (효창동),서울특별시 용산구 효창동 5-732,37.54306047,126.9596298
360,효창동,서울특별시 용산구 임정로 7-1 (효창동),서울특별시 용산구 효창동 5-124,37.54237439,126.9610812
361,효창동,서울특별시 용산구 임정로 63 (효창동),서울특별시 용산구 효창동 3-169,37.54530653,126.9581144
362,효창동,서울특별시 용산구 백범로45길 9-5 (효창동),서울특별시 용산구 효창동 5-264,37.54128398,126.9579176
363,효창동,서울특별시 용산구 임정로 93 (효창동),서울특별시 용산구 효창동 3-59,37.54694262,126.9609099
364,용문동,서울특별시 용산구 효창원로48길 6 (용문동),서울특별시 용산구 용문동 8-29,37.53757596,126.9609064
365,용문동,서울특별시 용산구 효창원로25나길 36 (용문동),서울특별시 용산구 용문동 38-87,37.53776736,126.9563801
366,용문동,서울특별시 용산구 효창원로25다길 33 (용문동),서울특별시 용산구 용문동 38-248,37.53795121,126.9570657
367,용문동,서울특별시 용산구 효창원로51길 8 (용문동),서울특별시 용산구 용문동 29-33,37.53837595,126.9603513
368,용문동,서울특별시 용산구 효창원로37길 28 (용문동),서울특별시 용산구 용문동 38-6,37.53794895,126.9590953
369,용문동,서울특별시 용산구 효창원로37나길 1 (용문동),서울특별시 용산구 용문동 38-175,37.53715622,126.9584757
370,용문동,서울특별시 용산구 새창로 93 (용문동),서울특별시 용산구 용문동 32-48,37.53904697,126.9597817
371,용문동,서울특별시 용산구 효창원로55길 11 (용문동),서울특별시 용산구 용문동 29-9,37.53865343,126.960274
372,용문동,서울특별시 용산구 원효로71길 33 (용문동),서울특별시 용산구 용문동 2-4,37.53805721,126.9633034
373,용문동,서울특별시 용산구 효창원로37길 1 (용문동),서울특별시 용산구 용문동 38-191,37.5369257,126.9582532
374,용문동,서울특별시 용산구 효창원로25다길 24 (용문동),서울특별시 용산구 용문동 38-159,37.53744678,126.9571375
375,용문동,서울특별시 용산구 효창원로37길 19 (용문동),서울특별시 용산구 용문동 38-142,37.53771303,126.9586777
376,용문동,서울특별시 용산구 효창원로25나길 2-32 (용문동),서울특별시 용산구 용문동38-269,37.53788923,126.9564988
377,용문동,서울특별시 용산구 효창원로25나길 2-14 (용문동),서울특별시 용산구 용문동 38-109,37.53708968,126.956441
378,용문동,서울특별시 용산구 새창로 84 (도원동),서울특별시 용산구 도원동 1-34,37.53924139,126.958582
379,용문동,서울특별시 용산구 효창원로39길 10 (용문동),서울특별시 용산구 용문동 38-29,37.53726776,126.958996
380,용문동,서울특별시 용산구 새창로 93 (용문동),서울특별시 용산구 용문동 32-48,37.53904697,126.9597817
381,한강로동,서울특별시 용산구 한강대로50길 37 (한강로2가),서울특별시 용산구 한강로2가 52-4,37.53126878,126.9727918
382,한강로동,서울특별시 용산구 한강대로54길 30 (한강로1가),서울특별시 용산구 한강로1가 217,37.53234423,126.9732616
383,한강로동,서울특별시 용산구 한강대로40길 47 (한강로2가),서울특별시 용산구 한강로2가 70,37.53019964,126.9719445
384,한강로동,서울특별시 용산구 한강대로52길 17-9 (한강로2가),서울특별시 용산구 한강로2가 29-1,37.53243588,126.9722781
385,한강로동,서울특별시 용산구 한강대로62길 45-10 (한강로1가),서울특별시 용산구 한강로1가 216-15,37.53253848,126.973736
386,한강로동,서울특별시 용산구 한강대로7길 9-8 (한강로3가),서울특별시 용산구 한강로3가 40-345,37.52413765,126.9619307
387,한강로동,서울특별시 용산구 한강대로21길 17-7 (한강로3가),서울특별시 용산구 한강로3가 40-132,37.52649686,126.96393
388,한강로동,서울특별시 용산구 한강대로50길 15-5 (한강로2가),서울특별시 용산구 한강로2가 44-1,37.53198355,126.9719267
389,한강로동,서울특별시 용산구 서빙고로 40 (한강로3가),서울특별시 용산구 한강로3가 65-426,37.5239913,126.9687394
390,한강로동,서울특별시 용산구 한강대로62길 55-3 (한강로1가),서울특별시 용산구 한강로1가 216-19,37.53227069,126.9737968
391,한강로동,서울특별시 용산구 한강대로11길 40 (한강로3가),서울특별시 용산구 한강로3가 40-500,37.52596551,126.9617959
392,한강로동,서울특별시 용산구 한강대로38가길 15 (한강로2가),서울특별시 용산구 한강로2가 152-1,37.52978449,126.9703585
393,한강로동,서울특별시 용산구 한강대로14가길 55 (한강로3가),서울특별시 용산구 한강로3가 65-86,37.52263643,126.9636545
394,한강로동,서울특별시 용산구 이촌로37길 17 (한강로3가),서울특별시 용산구 한강로3가 40-537,37.52349246,126.9610092
395,한강로동,서울특별시 용산구 한강대로14나길 16 (한강로3가),서울특별시 용산구 한강로3가 65-18,37.52269092,126.964764
396,한강로동,서울특별시 용산구 한강대로44길 17-4 (한강로2가),서울특별시 용산구 한강로2가 82-1,37.53092284,126.9712443
397,한강로동,서울특별시 용산구 한강대로7길 30 (한강로3가),서울특별시 용산구 한강로3가 40-302,37.52488805,126.9614997
398,한강로동,서울특별시 용산구 한강대로21가길 37 (한강로3가),서울특별시 용산구 한강로3가 40-493,37.52616734,126.9619763
399,한강로동,서울특별시 용산구 한강대로62길 77 (용산동3가),서울특별시 용산구 용산동3가 5-42,37.53141324,126.9734615
400,한강로동,서울특별시 용산구 한강대로14가길 43 (한강로3가),서울특별시 용산구 한강로3가 65-55,37.5229799,126.964026
401,한강로동,서울특별시 용산구 한강대로38길 11-8 (한강로2가),서울특별시 용산구 한강로2가 157-1,37.52977943,126.9698051
402,한강로동,서울특별시 용산구 한강대로40길 39-14 (한강로2가),서울특별시 용산구 한강로2가 65,37.53050751,126.9721222
403,한강로동,서울특별시 용산구 이태원로4가길 4 (용산동3가),서울특별시 용산구 용산동3가 1-40,37.53369871,126.9753186
404,한강로동,서울특별시 용산구 서빙고로20길 13 (한강로3가),서울특별시 용산구 한강로3가 65-387,37.52378068,126.9679038
405,한강로동,서울특별시 용산구 한강대로21가길 57 (한강로3가),서울특별시 용산구 한강로3가 40-3,37.5255107,126.9613882
406,한강로동,서울특별시 용산구 한강대로14길 37 (한강로3가),서울특별시 용산구 한강로3가 65-7,37.5244053,126.9663017
407,한강로동,서울특별시 용산구 이촌로29길 5-4 (한강로3가),서울특별시 용산구 한강로3가 40-73,37.52446376,126.9593147
408,한강로동,서울특별시 용산구 한강대로21길 29 (한강로3가),서울특별시 용산구 한강로3가 40-430,37.52707827,126.9635853
409,이촌2동,서울특별시 용산구 이촌로 26 (이촌동),서울특별시 용산구 이촌동 210-1,37.52933901,126.9542679
410,이촌2동,서울특별시 용산구 이촌로14길 11-22 (이촌동),서울특별시 용산구 이촌동 206-1,37.5268853,126.9543933
411,이촌2동,서울특별시 용산구 이촌로18길 9 (이촌동),서울특별시 용산구 이촌동 203-33,37.5262212,126.9554136
412,이촌2동,서울특별시 용산구 이촌로22길 19-23 (이촌동),서울특별시 용산구 이촌동 199-41,37.52449123,126.9566263
413,이촌2동,서울특별시 용산구 이촌로14길 16 (이촌동),서울특별시 용산구 이촌동 209-22,37.52788085,126.9545784
414,이촌2동,서울특별시 용산구 이촌로14길 16 (이촌동),서울특별시 용산구 이촌동 209-23,37.52788085,126.9545784
415,이촌2동,서울특별시 용산구 이촌로2가길 46 (이촌동),서울특별시 용산구 이촌동 208-2,37.52817778,126.9537154
416,이촌2동,서울특별시 용산구 이촌로2가길 36 (이촌동),서울특별시 용산구 이촌동 211-2,37.52930054,126.9535769
417,이촌2동,서울특별시 용산구 이촌로 38 (이촌동),서울특별시 용산구 이촌동 209-1,37.52830977,126.954396
418,이촌2동,서울특별시 용산구 이촌로22길 20 (이촌동),서울특별시 용산구 이촌동 203-61,37.52530985,126.9555907
419,이촌2동,서울특별시 용산구 이촌로 38 (이촌동),서울특별시 용산구 이촌동 209-1,37.52830977,126.954396
420,이촌2동,서울특별시 용산구 이촌로22길 13-22 (이촌동),서울특별시 용산구 이촌동 199-39,37.52459083,126.9566778
